Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Agrest;41;11.8;0.8;0.2
Ananas;54;13.6;0.4;0.2
Ananas plastry w syropie;84;21;0.4;0.1
Ananasy d¿em niskos³odzony;157;38.6;0.2;0.1
Arbuz;36;8.4;0.6;0.1
Awokado;160;7.4;2;15.3
Babka biszkoptowa;340;67.1;8.2;4.3
Bagietki francuskie;282;60.1;7.9;1.7
Bak³a¿an;21;6.3;1.1;0.1
Baleron gotowany;244;0.9;15.1;20.2
Banan;95;23.5;1;0.3
Baranina ³opatka;284;0;15.6;25
Baranina udziec;232;0;18;18
Barszcz czerwony zabielany;32;3.3;2;1.4
Barszcz ukraiñski;54;6.5;2.1;2.7
Barszcz ukraiñski mro¿ony;28;7.1;1.6;0.2
Barszcz z boæwin¹;29;2.5;1.5;1.7
Baton Bounty;448;56.7;4.2;25.2
Baton Mars;451;68.9;3.6;18.2
Baton Milky Way;448;71.8;3.6;16.2
Baton Snickers;497;52.6;9.7;28.9
Baton szynkowy z indyka;143;0.1;14.9;9.3
Baton Twix;483;64.2;5.3;23.2
Baton z kurczaka;144;0.1;16.7;8.6
Befsztyk bity wiejski;258;1.6;19.4;19.6
Bia³ko jaja kurzego;49;0.7;10.9;0.2
Bigos;119;3.9;5.1;9.9
Bitki wieprzowe;195;2.6;10.4;16.1
Bitki wieprzowe w jarzynach;198;4.3;10.7;16
Bitki wo³owe;102;2.4;13.6;4.3
Bitki wo³owe w jarzynach;116;6.6;14.3;4.4
Bliny ziemniaczane;257;23.6;5.6;16.3
Boæwina;17;5.5;2.1;0.5
Boeuf Strogonow;220;3.7;19.5;14.3
Bób;66;14;7.1;0.4
Broku³y;27;5.2;3;0.4
Broku³y mro¿one;24;4.7;2.7;0.4
Brukselka;37;8.7;4.7;0.5
Brukselka mro¿ona;36;8.4;4.5;0.5
Brukselka z wody;110;12;4.2;7.1
Bryzol wo³owy z polêdwicy;252;1.4;24.6;16.6
Brzoskwinia;46;11.9;1;0.2
Brzoskwinie d¿em niskos³odzony;155;38.3;0.5;0.1
Brzoskwinie w syropie;73;18.2;0.4;0.1
Buchty dro¿d¿owe;303;45.6;6.2;11
Budyñ z miêsa i makaronu;171;23.1;10.6;4.4
